trt.mosq,y.mosq
1,8.33
1,6.67
1,11.17
1,2.5
1,11
1,3.83
1,3.83
1,14.83
1,4.33
1,5.5
1,2.5
1,8.33
1,5
1,6.33
1,8.5
1,10.17
1,6.83
1,15.67
1,5
1,5.33
1,10.5
1,11.83
1,12.83
1,5.5
1,5.67
1,5
1,10.17
1,14.5
1,11.33
1,4.33
2,12.5
2,4.5
2,11
2,10.83
2,11.5
2,15.5
2,9.5
2,11.5
2,8.17
2,5.5
2,11.33
2,4.5
2,5.67
2,7.17
2,14.83
2,3.33
2,7.17
2,5.17
2,3.33
2,17
2,4.17
2,5.33
2,13
2,11.33
2,9.67
2,9.67
2,9.83
2,10.5
2,6.5
2,4.33
3,8
3,9.67
3,9.33
3,12.67
3,7
3,14
3,13.67
3,2.83
3,7.5
3,14
3,8.17
3,8
3,11.33
3,11.67
3,4.83
3,5.33
3,3.67
3,8.33
3,5.33
3,10.67
3,11.17
3,4.83
3,8.33
3,3.67
3,3.33
3,2.17
3,10
3,12.5
3,6.17
3,4.5
4,3.33
4,3
4,6.33
4,5.17
4,13.67
4,3.67
4,7
4,4.5
4,4
4,3.33
4,7.5
4,5.17
4,4.67
4,2.17
4,13.83
4,7.67
4,5
4,11.67
4,3.67
4,6.33
4,3.83
4,2.5
4,5
4,11.67
4,9
4,3.33
4,6.33
4,2.33
4,7.83
4,4.67
5,14.33
5,3.67
5,9.83
5,1.17
5,6.17
5,5.83
5,2.33
5,18.33
5,4.83
5,2.67
5,2.83
5,6.33
5,3.33
5,7.83
5,10.33
5,4.17
5,14.67
5,3.5
5,6.67
5,4
5,4.83
5,1.5
5,9.5
5,6.17
5,4
5,8.67
5,8.33
5,9.17
5,5.5
5,6.5
