"Gender" "Age" "Head_size" "Brain_weight"
"1" 1 1 4512 1530
"2" 1 1 3738 1297
"3" 1 1 4261 1335
"4" 1 1 3777 1282
"5" 1 1 4177 1590
"6" 1 1 3585 1300
"7" 1 1 3785 1400
"8" 1 1 3559 1255
"9" 1 1 3613 1355
"10" 1 1 3982 1375
"11" 1 1 3443 1340
"12" 1 1 3993 1380
"13" 1 1 3640 1355
"14" 1 1 4208 1522
"15" 1 1 3832 1208
"16" 1 1 3876 1405
"17" 1 1 3497 1358
"18" 1 1 3466 1292
"19" 1 1 3095 1340
"20" 1 1 4424 1400
"21" 1 1 3878 1357
"22" 1 1 4046 1287
"23" 1 1 3804 1275
"24" 1 1 3710 1270
"25" 1 1 4747 1635
"26" 1 1 4423 1505
"27" 1 1 4036 1490
"28" 1 1 4022 1485
"29" 1 1 3454 1310
"30" 1 1 4175 1420
"31" 1 1 3787 1318
"32" 1 1 3796 1432
"33" 1 1 4103 1364
"34" 1 1 4161 1405
"35" 1 1 4158 1432
"36" 1 1 3814 1207
"37" 1 1 3527 1375
"38" 1 1 3748 1350
"39" 1 1 3334 1236
"40" 1 1 3492 1250
"41" 1 1 3962 1350
"42" 1 1 3505 1320
"43" 1 1 4315 1525
"44" 1 1 3804 1570
"45" 1 1 3863 1340
"46" 1 1 4034 1422
"47" 1 1 4308 1506
"48" 1 1 3165 1215
"49" 1 1 3641 1311
"50" 1 1 3644 1300
"51" 1 1 3891 1224
"52" 1 1 3793 1350
"53" 1 1 4270 1335
"54" 1 1 4063 1390
"55" 1 1 4012 1400
"56" 1 1 3458 1225
"57" 1 1 3890 1310
"58" 1 2 4166 1560
"59" 1 2 3935 1330
"60" 1 2 3669 1222
"61" 1 2 3866 1415
"62" 1 2 3393 1175
"63" 1 2 4442 1330
"64" 1 2 4253 1485
"65" 1 2 3727 1470
"66" 1 2 3329 1135
"67" 1 2 3415 1310
"68" 1 2 3372 1154
"69" 1 2 4430 1510
"70" 1 2 4381 1415
"71" 1 2 4008 1468
"72" 1 2 3858 1390
"73" 1 2 4121 1380
"74" 1 2 4057 1432
"75" 1 2 3824 1240
"76" 1 2 3394 1195
"77" 1 2 3558 1225
"78" 1 2 3362 1188
"79" 1 2 3930 1252
"80" 1 2 3835 1315
"81" 1 2 3830 1245
"82" 1 2 3856 1430
"83" 1 2 3249 1279
"84" 1 2 3577 1245
"85" 1 2 3933 1309
"86" 1 2 3850 1412
"87" 1 2 3309 1120
"88" 1 2 3406 1220
"89" 1 2 3506 1280
"90" 1 2 3907 1440
"91" 1 2 4160 1370
"92" 1 2 3318 1192
"93" 1 2 3662 1230
"94" 1 2 3899 1346
"95" 1 2 3700 1290
"96" 1 2 3779 1165
"97" 1 2 3473 1240
"98" 1 2 3490 1132
"99" 1 2 3654 1242
"100" 1 2 3478 1270
"101" 1 2 3495 1218
"102" 1 2 3834 1430
"103" 1 2 3876 1588
"104" 1 2 3661 1320
"105" 1 2 3618 1290
"106" 1 2 3648 1260
"107" 1 2 4032 1425
"108" 1 2 3399 1226
"109" 1 2 3916 1360
"110" 1 2 4430 1620
"111" 1 2 3695 1310
"112" 1 2 3524 1250
"113" 1 2 3571 1295
"114" 1 2 3594 1290
"115" 1 2 3383 1290
"116" 1 2 3499 1275
"117" 1 2 3589 1250
"118" 1 2 3900 1270
"119" 1 2 4114 1362
"120" 1 2 3937 1300
"121" 1 2 3399 1173
"122" 1 2 4200 1256
"123" 1 2 4488 1440
"124" 1 2 3614 1180
"125" 1 2 4051 1306
"126" 1 2 3782 1350
"127" 1 2 3391 1125
"128" 1 2 3124 1165
"129" 1 2 4053 1312
"130" 1 2 3582 1300
"131" 1 2 3666 1270
"132" 1 2 3532 1335
"133" 1 2 4046 1450
"134" 1 2 3667 1310
"135" 2 1 2857 1027
"136" 2 1 3436 1235
"137" 2 1 3791 1260
"138" 2 1 3302 1165
"139" 2 1 3104 1080
"140" 2 1 3171 1127
"141" 2 1 3572 1270
"142" 2 1 3530 1252
"143" 2 1 3175 1200
"144" 2 1 3438 1290
"145" 2 1 3903 1334
"146" 2 1 3899 1380
"147" 2 1 3401 1140
"148" 2 1 3267 1243
"149" 2 1 3451 1340
"150" 2 1 3090 1168
"151" 2 1 3413 1322
"152" 2 1 3323 1249
"153" 2 1 3680 1321
"154" 2 1 3439 1192
"155" 2 1 3853 1373
"156" 2 1 3156 1170
"157" 2 1 3279 1265
"158" 2 1 3707 1235
"159" 2 1 4006 1302
"160" 2 1 3269 1241
"161" 2 1 3071 1078
"162" 2 1 3779 1520
"163" 2 1 3548 1460
"164" 2 1 3292 1075
"165" 2 1 3497 1280
"166" 2 1 3082 1180
"167" 2 1 3248 1250
"168" 2 1 3358 1190
"169" 2 1 3803 1374
"170" 2 1 3566 1306
"171" 2 1 3145 1202
"172" 2 1 3503 1240
"173" 2 1 3571 1316
"174" 2 1 3724 1280
"175" 2 1 3615 1350
"176" 2 1 3203 1180
"177" 2 1 3609 1210
"178" 2 1 3561 1127
"179" 2 1 3979 1324
"180" 2 1 3533 1210
"181" 2 1 3689 1290
"182" 2 1 3158 1100
"183" 2 1 4005 1280
"184" 2 1 3181 1175
"185" 2 1 3479 1160
"186" 2 1 3642 1205
"187" 2 1 3632 1163
"188" 2 2 3069 1022
"189" 2 2 3394 1243
"190" 2 2 3703 1350
"191" 2 2 3165 1237
"192" 2 2 3354 1204
"193" 2 2 3000 1090
"194" 2 2 3687 1355
"195" 2 2 3556 1250
"196" 2 2 2773 1076
"197" 2 2 3058 1120
"198" 2 2 3344 1220
"199" 2 2 3493 1240
"200" 2 2 3297 1220
"201" 2 2 3360 1095
"202" 2 2 3228 1235
"203" 2 2 3277 1105
"204" 2 2 3851 1405
